FID,time_period,time_format,granularity,geocode,label,geom,pact_m,pact_t,pact_f,pocu_t,pocu_m,pocu_f,psal_t,psal_m,psal_f,psel_t,ppar_t
Malla de 250m-2024.fid-68150d23_197ad17ab1b_208e,2024,P1Y,GRID_250,250mN102200E200850,250mN102200E200850,"MULTIPOLYGON (((28.995020067640176 -13.655319239591917, 28.99720690341583 -13.655936775722939, 28.99789009492847 -13.653483387643707, 28.99570323897287 -13.65286590440384, 28.995020067640176 -13.655319239591917)))",19,37,18,34,19,15,29,16,13,5,3
Malla de 250m-2024.fid-68150d23_197ad17ab1b_208f,2024,P1Y,GRID_250,250mN102200E200875,250mN102200E200875,"MULTIPOLYGON (((28.99570323897287 -13.65286590440384, 28.99789009492847 -13.653483387643707, 28.998573217194313 -13.651029968997017, 28.99638634106033 -13.650412538652269, 28.99570323897287 -13.65286590440384)))",9,17,9,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2090,2024,P1Y,GRID_250,250mN102200E200900,250mN102200E200900,"MULTIPOLYGON (((28.99638634106033 -13.650412538652269, 28.998573217194313 -13.651029968997017, 28.999256270212125 -13.648576519784577, 28.99706937390128 -13.64795914233891, 28.99638634106033 -13.650412538652269)))",18,28,10,23,13,10,20,12,8,3,3
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2091,2024,P1Y,GRID_250,250mN102200E201200,250mN102200E201200,"MULTIPOLYGON (((29.004578164505745 -13.62096976630628, 29.006765282660307 -13.621586561600889, 29.007447504598954 -13.619132745733802, 29.00526036628603 -13.61851600338576, 29.004578164505745 -13.62096976630628)))",46,89,43,84,44,40,76,40,36,8,5
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2092,2024,P1Y,GRID_250,250mN102200E201275,250mN102200E201275,"MULTIPOLYGON (((29.006624562054544 -13.61360838592825, 29.008811740679587 -13.614225022371295, 29.009493754818934 -13.611771114879325, 29.007306556040113 -13.611154531394712, 29.006624562054544 -13.61360838592825)))",47,101,55,93,44,49,85,37,48,9,8
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2093,2024,P1Y,GRID_250,250mN102200E201875,250mN102200E201875,"MULTIPOLYGON (((29.022973297218687 -13.554707453177835, 29.02516095910772 -13.55532281752717, 29.025841310427563 -13.552868177596428, 29.023653628421854 -13.552252866300412, 29.022973297218687 -13.554707453177835)))",26,48,22,45,24,20,39,20,18,6,4
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2094,2024,P1Y,GRID_250,250mN102200E201950,250mN102200E201950,"MULTIPOLYGON (((29.025014082929882 -13.54734360106931, 29.027201805164342 -13.547958806246845, 29.027881948578653 -13.545504074831463, 29.025694206232124 -13.544888922719094, 29.025014082929882 -13.54734360106931)))",13,24,11,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2095,2024,P1Y,GRID_250,250mN102225E169250,250mN102225E169250,"MULTIPOLYGON (((28.078739199136916 -16.732046849485744, 28.08089933736319 -16.732728079418024, 28.0816690144047 -16.730314511094484, 28.079508854193392 -16.729633328937847, 28.078739199136916 -16.732046849485744)))",56,97,42,88,51,37,73,43,31,15,10
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2096,2024,P1Y,GRID_250,250mN102225E169275,250mN102225E169275,"MULTIPOLYGON (((28.079508854193392 -16.729633328937847, 28.0816690144047 -16.730314511094484, 28.082438623890585 -16.727900910368316, 28.08027844169554 -16.72721977599146, 28.079508854193392 -16.729633328937847)))",190,336,146,311,180,131,268,157,111,43,25
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2097,2024,P1Y,GRID_250,250mN102225E169300,250mN102225E169300,"MULTIPOLYGON (((28.08027844169554 -16.72721977599146, 28.082438623890585 -16.727900910368316, 28.08320816581948 -16.72548727724069, 28.081047961642028 -16.72480619064776, 28.08027844169554 -16.72721977599146)))",77,148,70,140,74,66,104,55,49,36,8
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2098,2024,P1Y,GRID_250,250mN102225E169325,250mN102225E169325,"MULTIPOLYGON (((28.081047961642028 -16.72480619064776, 28.08320816581948 -16.72548727724069, 28.083977640190042 -16.723073611712827, 28.08181741403149 -16.72239257290792, 28.081047961642028 -16.72480619064776)))",59,123,64,110,56,54,82,42,41,28,13
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2099,2024,P1Y,GRID_250,250mN102225E169350,250mN102225E169350,"MULTIPOLYGON (((28.08181741403149 -16.72239257290792, 28.083977640190042 -16.723073611712827, 28.084747047000906 -16.720659913785866, 28.08258679886257 -16.719978922773123, 28.08181741403149 -16.72239257290792)))",17,34,17,30,16,15,16,6,9,15,3
Malla de 250m-2024.fid-68150d23_197ad17ab1b_209a,2024,P1Y,GRID_250,250mN102225E169700,250mN102225E169700,"MULTIPOLYGON (((28.092582653235215 -16.688598523616637, 28.09474318699101 -16.689278892955993, 28.095511647823383 -16.686864741565895, 28.09335109210622 -16.686184420076415, 28.092582653235215 -16.688598523616637)))",3,11,8,11,3,8,5,,,6,0
Malla de 250m-2024.fid-68150d23_197ad17ab1b_209b,2024,P1Y,GRID_250,250mN102225E169725,250mN102225E169725,"MULTIPOLYGON (((28.09335109210622 -16.686184420076415, 28.095511647823383 -16.686864741565895, 28.09628004107567 -16.684450557794435, 28.094119463398464 -16.683770284159, 28.09335109210622 -16.686184420076415)))",32,64,32,54,27,26,44,22,23,9,11
Malla de 250m-2024.fid-68150d23_197ad17ab1b_209c,2024,P1Y,GRID_250,250mN102225E169750,250mN102225E169750,"MULTIPOLYGON (((28.094119463398464 -16.683770284159, 28.09628004107567 -16.684450557794435, 28.09704836674651 -16.682036341642814, 28.09488776711059 -16.68135611586552, 28.094119463398464 -16.683770284159)))",9,14,5,13,9,5,9,6,4,4,0
Malla de 250m-2024.fid-68150d23_197ad17ab1b_209d,2024,P1Y,GRID_250,250mN102225E169800,250mN102225E169800,"MULTIPOLYGON (((28.09565600324122 -16.678941915197186, 28.097816624834554 -16.67962209311221, 28.09858481533844 -16.67720781220383, 28.096424171789025 -16.67652768215519, 28.09565600324122 -16.678941915197186)))",8,13,5,13,8,5,10,6,4,3,0
Malla de 250m-2024.fid-68150d23_197ad17ab1b_209e,2024,P1Y,GRID_250,250mN102225E169900,250mN102225E169900,"MULTIPOLYGON (((28.0987282719218 -16.669284788799057, 28.100888981331565 -16.669964775223786, 28.101656901485235 -16.667550364816112, 28.099496170124652 -16.66687042627426, 28.0987282719218 -16.669284788799057)))",14,35,21,32,13,19,29,12,17,3,3
Malla de 250m-2024.fid-68150d23_197ad17ab1b_209f,2024,P1Y,GRID_250,250mN102225E169925,250mN102225E169925,"MULTIPOLYGON (((28.099496170124652 -16.66687042627426, 28.101656901485235 -16.667550364816112, 28.102424754047945 -16.66513592203658, 28.100264000737873 -16.664456031381725, 28.099496170124652 -16.66687042627426)))",10,27,17,25,11,14,22,10,12,3,4
Malla de 250m-2024.fid-68150d23_197ad17ab1b_20a0,2024,P1Y,GRID_250,250mN102225E170650,250mN102225E170650,"MULTIPOLYGON (((28.1217358110034 -16.596839837932084, 28.123897178363027 -16.597518386077432, 28.12466307019731 -16.595103005033213, 28.122501680926533 -16.594424504894366, 28.1217358110034 -16.596839837932084)))",10,20,10,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_20a1,2024,P1Y,GRID_250,250mN102225E170800,250mN102225E170800,"MULTIPOLYGON (((28.126330016059462 -16.582347354751793, 28.128491514866194 -16.583025614796245, 28.129257000889954 -16.580610039754102, 28.127095480180007 -16.579931827740875, 28.126330016059462 -16.582347354751793)))",10,18,8,,,,,,,,
